WOB lbf,ROP ft/hr,ROP calc ft/hr,IFA degree,diff
2150,10.2,16.2208,54.7997,0
2300,11.9,18.5013,53.5998,0
2560,15.1,23.1925,51.5998,0
2810,19.6,28.3805,49.7998,0
3060,25.6,34.1751,47.9998,0
3290,31.4,38.5403,46.7999,0
3540,37.7,43.4323,45.5999,0
3820,44.3,51.2113,43.8999,0
4070,50.8,56.9384,42.7999,0
